name,length,width,height
Apocalypse (Ext. Clank! Dans l'Espace),265,265,35
Aquaria,300,300,70
Ascension (Edition Anniversaire),240,210,80
Blood Rage : Augures de Midgard,210,130,40
Color Addict,175,115,40
Danger,130,95,30
Donjons & Chatons : Supplement Ecran,200,200,20
Dune,265,265,65
Hit ! Extreme,105,105,40
Kingdom Crossing,270,270,70
La Marche des Pingouins,160,160,10
Le Cameleon,300,170,60
Le Poker des Cafards,110,110,40
Les Charlatans de Belcastel (Megabox),500,320,70
Munchkin 3 : Clerc et Pas Net,120,90,20
Personnages (Ext. Les Loups-Garous de Thiercelieux),120,90,20
Pippo,130,100,30
Time's Up! Party - Bleu,155,105,105
Unlock! Escape Geeks : Echappe-toi de la Prison,210,145,20
Unstable Unicorns : NSFW,150,100,40
