name,length,width,height
1 2 3 Faufile-toi,270,270,80
365 Aventures - Cthulhu 1926,240,210,35
3Motion,190,190,40
5 Alive,120,90,20
50/50,185,65,55
Alice - De l'Autre Cote du Miroir,200,150,45
Allez les P'tits Poissons,220,220,50
Andor,300,300,70
Andor Junior,300,300,70
Andromeda's Edge,360,300,70
Animotion,125,115,40
Antinomy,110,70,10
Apocalypse - Extension pour Smile Life,90,60,20
Apres Vous,150,100,35
Arschmallows,130,80,30
Au Voleur,250,250,50
Auberges et Cathedrales (Ext. Carcassonne),175,125,45
Avio,145,105,30
Avocado Smash!,120,85,30
Azvaltya : Les Anges Gardiens,320,240,100
Bagarre !,150,110,40
Bananagrams,230,100,90
Bananagrams Hiver,230,100,90
Bang ! Pack d'Extensions,190,140,30
Barrage,315,220,120
BBQ - Big Bluff Quiz,200,200,45
Biathlon Crystal Globe - Edition World Champions,295,295,70
Bicycle - Disney L'Etrange Noel de Monsieur Jack - Jeu de 54 cartes,92,65,20
Bonsai,250,250,60
Botanik,180,130,40
Butterfly Effect - Le Manoir de Hill Sing,220,160,50
Camelot,150,110,50
Captain Flip,250,250,50
Cartatoto - Anglais (CP-CE1-CE2),150,90,20
Cartaventura : Hollywood,110,110,35
Cataclysme (Ext. Hybris - Disordered Cosmos),420,300,50
Cheese Master,150,100,45
ClueBox - Sherlock's Camera,125,120,110
Cluedo Conspiration,200,200,50
Cluedo Junior,330,270,70
Color Flush,120,80,40
Commandants (Ext. Pirates de Maracaibo),220,170,40
Compile,100,80,80
Coral,225,225,50
Couloir de la Mort (Ext. Lache pas la Savonnette),150,100,60
Crafting The Cosmos,320,320,75
Cranium,260,260,65
Cryptide,275,190,70
Deep Sea Adventure Boost,110,70,40
Defenders of the Wild,210,210,75
Des Bruits Dans la Nuit,165,135,40
Descent : Skarn - Extension Lieutenant,160,150,80
Detective - Jeu d'Enquete Moderne,295,295,75
Dobble Animal Crossing,130,130,50
Dobble Star Wars Mandalorian,130,130,75
Dodo,295,295,69
Domino Double 9 Colores,200,120,50
Dr Eureka,270,220,70
Dr. Stone Le Jeu - La Lumiere Des Civilisations,200,200,50
Dragons (Ext. Unstable Unicorns),165,95,20
Durian,110,70,40
Escape Room - Le Jeu Familial n3 - 3 Aventures,265,265,60
Europa (Ext. World Wonders),150,150,60
Evolutions (Ext. Prehistories),190,190,60
Exit Calendrier de l'Avent : La Tempete Silencieuse,500,400,150
Exit Puzzle : Le Chateau Lugubre,260,180,55
Exkalibur,340,100,100
Far Cry : Escape From Rook Islands,300,300,70
Fifty Fruity,120,80,40
Fil Rouge : Dans leurs Regards,150,100,30
Final Fantasy : Moogle Bounty Mayhem,200,200,45
Florence,320,240,80
Fluffy Valley,240,240,70
Fort,225,145,55
Fragments,200,200,40
Fromage,300,300,80
Frosthaven,410,300,250
Frostlander (Ext. Frostpunk),165,135,40
Game Of Thrones - Jeu de 54 Cartes - Theory11,90,65,20
Gang de Castors,160,120,35
Generation Mimes,120,100,20
Happy Cube - Junior - Pack 6 couleurs,230,130,25
Heroes of the Normandy Alpha (Ext. Mass Effect - Priorite Hagalaz),150,105,25
Hidden Games 2 : Le Diademe d'Amaryllis,340,240,40
Hidden Leaders,230,160,50
Humains!!! 3 : ZombieCon,150,130,40
Hygge,110,70,30
IQ Matrix,150,100,30
IQ Mini XXL,250,250,60
Ishtar : Les Jardins de Babylone,295,295,75
Ito,150,100,50
Je Decouvre les Emotions,360,270,80
Je voudrais un Bonhomme de Neige,250,240,50
Jeu de 54 Cartes - Ducale Dos Bleu ou Rouge,90,60,20
Jeu de 78 Cartes Tarot - Ducale,115,65,35
John Company Seconde Edition,300,230,90
Kingdom Legacy - Feudal Kingdom,90,65,50
Kluster Duo,165,120,30
Kombo Klash!,230,230,60
Krach 29,230,160,50
Krom Evolution,240,240,50
L'Auberge des Pirates,160,110,30
L'Enclume Mots et Images,210,120,40
La Bataille des Animaux,135,95,35
La Cathedrale d'Orleans,300,300,70
La Cour de Versailles - Booster,140,65,10
La Decouverte de l'Atlantide (Ma 1ere Aventure),280,200,20
La Foret des Brigands (Ext. Kingdom Legacy),150,65,5
La Maison des Souris,300,300,70
Le Choc des Immortels (Ext. Fateforge : Les Chroniques de Kaan),310,310,50
Le Lievre et Les Tortues,160,160,30
Le Livre des Rituels,220,150,20
Legendes & Voyageurs (Ext. Naishi),135,70,10
Les Aventuriers du Rail : Europa 1912,180,90,30
Les Bretonnes (Ext. Heroines),100,70,30
Les Larmes de Fond (Ext. Once Upon A Line),250,250,40
Les Mysteres de Pekin,355,275,60
Let's Dig for Treasure,150,100,40
Level 8 Master,130,100,35
Licornes dans les Nuages,230,160,50
Licornes de Legende (Ext. Unstable Unicorns),165,95,20
Limite Limite,140,140,70
Logic Cards Jaune,120,90,20
Logic! Games : Ou se Cache Wanda ?,220,220,70
Loki a la Plage - Puzzle +,250,250,50
Lut'Un Deux Trois,240,240,60
Maki Master,295,215,60
Mandalorian - Jeu de 54 Cartes - Theory 11,92,65,18
Marvel Zombies - La Resistance des Heros,260,260,60
Maudit Mot Dit,160,100,40
Mazescape - Ariadne,165,105,30
Metaforms,280,230,40
Mimose & Sam et le Voleur de Fruits,200,200,50
Mind Map,250,180,60
Molkky Deluxe,310,220,190
Mon Premier Tresor de Jeux - Selection de Jeux Haba,400,400,60
Monstres Sous le Lit,240,180,50
Mummy Dino,230,230,70
Mystere Dans la Vallee des Rois (Dossiers Criminels),310,220,20
Mysterium Park,225,160,50
Napoleon 1815,315,315,60
Navoria,280,220,70
Nekojima,250,250,80
Niwashi,100,70,35
No Way Bully!,165,125,55
Nouveaux Horizons (Ext. Pampero),200,200,40
Olemains 2 - Le Retour du Lapin,210,100,70
On Lache Rien !,150,110,40
One Round ?,180,130,45
Orleans,315,225,70
Ouga Bouga,100,100,30
Panda Spin,180,130,40
Paradox Temporel (Ext. Bordel Temporel),95,65,20
Paysages (Ext. Cascadia),240,240,70
Petty Officers - Extension Detective,185,110,35
Piazza,60,60,30
Pic'Together,230,160,50
Plouf Party,150,110,40
Poseidon (Ext. Saint Seiya),210,150,80
Prelude 2 (Ext. Terraforming Mars),160,115,30
Ptit Pois,125,95,25
Puzzle Universe - Levitation (1000P),285,130,85
Puzzlegend Robinson,90,90,10
Pylos Classic,280,280,60
Quadrillion,240,240,45
Ramen ! Ramen !,140,100,40
Rapidcroco,100,100,30
Rattus Big Box,300,300,70
Risk Stranger Things,400,265,60
Room 25 - Double Rush,110,75,10
Roomy Memo,200,150,45
Rush Hour Deluxe,275,235,65
Shadow Hunters,230,172,46
Sifflard - Deluxe Edition,220,170,65
Smart 10,250,250,50
Sombres Chemins (Ext. Voyages en Terre du Milieu),140,90,65
Sous l'Ocean,270,270,60
Splendor Duel,180,130,48
Spots ou Encore !,180,130,50
Star Realms - L'Alignement (Deck de Commandement),150,70,5
Star Wars : The Deckbuilding Game,210,170,80
Star Wars Legion : Comte Dooku,165,90,65
Story Cubes Classic,170,90,30
Sub Terra,270,190,70
Sync or Swim,180,130,50
Tarot Disney Vilains,170,120,50
Tetaki,170,130,50
Timber City - Pack Cosmetique (Ext. Frostpunk),315,215,65
Tokyo Ghoul District Battle,200,200,50
Top Cap,125,70,70
Turmoil - Promo Pack (Ext. Terraforming Mars),90,60,10
Twist Delire - Vocabulaire,160,90,90
Unanimo,150,100,40
Verbillico Excellence,300,300,60
Viticulture : Toscane - Ed. Essentielle (+ Plateau corrige),273,215,50
Vocadingo CP-CM1,95,95,30
Welcome : Halloween et Lumieres de Noel,190,190,15
Yubibo,270,130,40
Zero a 1000,120,120,40
Zhanguo : The First Empire,300,300,80
