name,length,width,height
#DISTAVIE,155,110,40
1001 Iles,240,240,50
3 Ring Circus,230,230,65
5 Royaumes,110,75,50
50 Missions,175,105,30
63 Ames - Les Enquetes Sous Scelles,340,250,40
7 Wonders (Nouvelle Edition 2020),285,285,80
7 Wonders : Leaders (Nouvelle Ed. 2020),300,150,50
A Fake Artist Goes to New York,110,70,40
A la Poursuite de Cabrakan - Unlock! Short Adventures,110,70,15
A Toi de Deviner !,150,110,40
Abondance (Ext. Earth),300,170,50
Abyss,280,280,80
Abyss : Leviathan,290,140,50
Addigolo,200,120,20
Aeon's End - Une Ere Nouvelle,295,295,75
Aetherya,250,250,45
Aetherya II : La Genese,250,250,50
Althing - L'Integrale,160,120,50
Alveola - La Cite des Abeilles,260,260,50
Amanite,225,225,45
Anomaly (Ext. Warp's Edge),195,145,50
Apex,240,240,50
Architecto,280,230,40
Ark Nova,365,300,70
Army of the Dead - Zombicide System,310,310,110
Art Gallery,295,295,70
Ascension Tactics,300,300,110
Au Griffon Fonffon,110,70,10
Au Loup !,135,95,35
Aube (Ext. Lueur),240,240,30
Audimat (For The Story),195,115,35
Aurum,160,110,35
Avignon - La Bataille des Papes,110,70,10
Avio,145,105,30
Azul Duel,205,205,50
Bad Choices,140,120,85
Bagarre !,150,110,40
Bahamas - Braquage de Haut Vol,180,130,40
Baiser Mortel,110,70,10
Bande 2 Nazes !,170,100,40
Bandida,110,70,30
Barbares et Marchands - 5/6 joueurs (Ext. Catan),300,150,40
Barcelona,300,300,70
Belaad : La Contree de la Plume et de l'Epee,285,285,50
Bellevue,160,120,30
Betes Gargantuesques (Ext. Wondrous Creatures),140,110,30
Bicycle - Disney Le Roi Lion - Jeu de 54 cartes,92,65,20
Biome + Mini-Extension incluse,300,300,75
Black Stories - Faits Vecus,135,95,25
Blanc Manger Coco Duo - Plaisir a Deux,195,100,50
Bloody Grove,110,80,50
Booster Periples Conquete - Hero Realms,150,80,10
Booster Periples Voyageurs - Hero Realms,150,80,10
Botanik,180,130,40
Break In : Tour Eiffel,255,230,120
Break The Code,180,130,40
Breakthrough (Ext. Memoire 44),290,240,50
Brokies,130,130,30
Bubble Stories - Contes,120,80,40
Bug Run,240,240,55
Bureau of Investigation : Enquetes a Arkham & Autres Contrees,310,230,60
Candy Conquest,230,230,80
Captain Sonar - 2nde Edition,295,295,75
Carla Caramel,230,160,50
Carrom Mango 83 cm,850,850,100
Cartatoto - Anglais (CP-CE1-CE2),150,90,20
Cartes Objectifs 24-27 - Ext. Scythe,90,60,5
Cartographers - Epopee dans l'Univers Roll Player,225,150,40
Cartzzle - Foules,98,70,25
Ce Jeu est une Tuerie : Alien a Bord,175,155,45
Cendrillon,190,190,40
Century : Edition Golem,270,190,70
Chakapuces,150,100,35
Chambres a Louer - Extension Tavernes de la Vallee Profonde,295,295,55
Charafe,150,100,35
Charles,131,93,26
Chatons et Dragons - Les Fleurs-Dragon,280,190,10
Chats de Poche,130,80,50
Chromino,240,240,70
Chu Han,205,205,60
Circadiens - Ordre du Chaos,300,300,90
Cities Skylines : Le Jeu de Plateau,295,295,70
City Tour,265,200,60
Clear 4,180,130,40
ClueBox - Le Coffre de Davy Jone's,120,110,110
ClueBox - Sherlock's Camera,125,120,110
Cluedo,410,270,50
Code Quantum (2 en 1 Puzzle),250,180,50
Codex Naturalis,125,125,40
Coffret 10 Jeux Classiques,310,310,80
Coffret Echecs et Dames,300,300,55
Coffret Echecs Magnetique Format Voyage,230,140,35
Color Mania,220,220,50
Coloretto,120,100,20
Comet,260,260,70
Comix Trip,230,160,50
Complices,240,240,60
Conjudingo CE1,95,95,30
Cortex Challenge Harry Potter,140,140,40
Cosmolancer,270,270,45
Coucou La Girafe,110,70,10
Crime Zoom - No Furs,125,95,25
Critical - Sanctuaire,270,190,70
Critter Kitchen,300,300,70
Crystalla,270,270,50
Culte du Chaos (Ext. Tiny Epic Cthulhu),175,115,20
Cyber Station 11 (Ext. Clank! Dans l'Espace),265,265,35
Dames (Premium Classic),275,190,65
Dames Chinoises en Bois - 29cm,295,295,40
Darts By Pitchgames,550,100,100
Daybreak,300,300,80
De Vieux Souvenirs (Ext. Aeon's End),170,130,30
Deblok !,200,200,100
Deblok ! Junior,200,200,100
Decrypto,230,160,50
Descent : Gargan Mirklace - Extension Lieutenant,160,150,80
Descent : La Croisade des Oublies,230,170,90
Descent : Verminos - Extension Lieutenant,150,100,70
Detective Charlie,205,205,70
Detective Charlie : Mysteres au Manoir,205,205,70
Diamant,205,205,60
Dice Forge : Rebellion,290,140,80
Dice Town,280,280,80
Dixit 6 - Memories,275,115,40
Dobble Gourmandise,170,90,30
Dobble Super Mario,130,130,50
Dorfromantik : Le Jeu de Societe,300,300,70
Douce Nuit Mortelle Nuit (Diner-Enquete),230,110,20
Dr Gribouille,180,130,40
Dragomino,260,200,60
Drako,150,100,40
Drinking War,115,115,45
Dro Polter,110,70,40
Duckomenta Art,180,130,40
Duel Of Chaos,180,130,40
Dune - Secrets Enfouis,300,300,70
Dungeon Fighter (Ed. 2022),250,250,55
E.T. L'Extraterrestre,270,270,60
Echecs Magnetique Format Portefeuille,220,105,10
Echecs Starter Box DGT,240,230,75
Echoes - Le Titanic,130,100,30
Einstein - Le Jeu,260,260,50
Ekko,150,105,35
Encore ! Royal,270,270,50
Esdras et Nehemie,230,230,70
Eternitium,245,145,50
Etherstone,250,250,50
Exit : Intrigue a Venise,290,230,50
Exit : Le Cimetiere des Ombres,180,130,40
Exit : Le Tombeau du Pharaon,180,130,40
Exit : Le Tresor Englouti,180,130,40
Exit : Le Vol vers l'Inconnu,180,130,40
Exit Kids : La Chasse Aux Cookies,180,130,40
Exit Puzzle : Le Chateau Lugubre,260,180,55
Exploding Kittens : Edition Festive,160,110,40
Family and Friends (Ext. Cathood),115,70,30
Faux Raccords,150,110,40
Faux-Culte,100,80,70
Final Fantasy : Moogle Bounty Mayhem,200,200,45
Final Girl - Kit de demarrage,220,160,80
Firefly (Ext. Solstis),140,80,10
Foret Mixte : Dartmoor,225,165,50
Fort,225,145,55
Fox Terrier,160,160,10
Fragments,200,200,40
Frissons a l'Hotel Abaddon (Adventure Games),180,130,40
Fromage,300,300,80
Galactic Cruise,370,300,150
Galileo Project,265,265,65
Glisse Banquise,270,200,60
Gloomhaven - Les Machoires du Lion,290,230,110
Grizzy & Les Lemmings,220,220,60
Hanafuda Sakura,95,95,25
Happy Cube - Original - Pack 6 couleurs,230,130,25
Happy DayZ : Woodstock Fever + cartes promo,165,115,40
Happy Mochi,110,110,35
Hero Realms : La Ruine de Thandar,150,100,45
Heros du Monde,220,160,40
High Risk,150,100,45
Hitster Bingo,300,210,70
Hop Hop Galopons!,220,220,40
Hop Hop Lapins !,250,250,70
Hue Licorne !,150,105,25
Humains!!! 3 : ZombieCon,150,130,40
Human Punishment - Identites Cryptees 2.0 + Carte Goodie Junkyard,225,150,40
