name,length,width,height
3 Secondes ! (Pas Plus),170,50,30
50/50,185,65,55
7 Wonders : Edifice,300,140,50
Agents Secrets (Ext. Zenith),135,60,5
Ark Nova : Plateau Zoo Recto Verso #2,350,190,10
Avalam Evolution,380,320,60
Awale Artisanal Sculpte,430,80,80
Bang ! Dice Explosion,290,105,100
Basketball By Pitchgames,630,100,100
Battle Flip - Animaux,105,105,35
Billard Hollandais Mango 110x35cm,1120,350,100
BrainBox Pocket : Metiers,140,115,25
Bretteurs & Druides (Ext. Here To Slay),125,75,15
Calendrier de l'Avent Detective Charlie,545,295,58
Carrom Mango 66 cm,660,660,100
Carrom Mango 83 cm,850,850,100
Cartographers - Epopee dans l'Univers Roll Player,225,150,40
Catan,295,295,75
Catan : Big Box (Ed. 2025),430,305,105
Cauchemars (Ext. Unconscious Mind : La Societe du Mercredi),310,190,60
Chiens et Chats (Ext. Fort),59,59,25
Colt Express : Tapis de Jeu,520,80,80
Connect'Ortho,235,170,50
Cornhole By Pitchgames,400,100,100
Cube Puzzler Go,120,120,120
DIG,80,30,20
Disc Cover,135,130,70
Dreadnought - Pack Cosmetique (Ext. Frostpunk),215,95,60
Echecs Club Competition 50cm,530,170,100
Echiquier DGT Pegasus,370,370,70
Exit Calendrier de l'Avent : La Tempete Silencieuse,500,400,150
Exkalibur,340,100,100
First Rat,320,225,75
Flash !,150,80,60
Haru Ichiban,230,70,70
Heritage (Ext. Ancient Knowledge),185,90,45
Hotel,460,270,60
Ice Cool,405,205,60
Inside3 Cube : Fancube (Violet),90,90,90
Inside3 Novice : Awful (Rose),50,50,50
Instantanes de Voyage (Ext. Earthborne Rangers),90,75,20
IQ Perplex,145,145,30
IQ Runes (Premium Collection),170,170,40
Je Decouvre les Emotions,360,270,80
Jeu de 54 cartes - Poker Bridge Ducale Origine,90,60,20
Jeu de Cochons - Geants,210,110,40
Jeu de Tarot - 78 cartes Ducale Origine,120,60,30
Klask,450,350,150
Kosmopoli:t,205,180,55
L'Aube de la Technologie (Ext. Trickerion),245,105,40
Le Fada,110,40,40
Le Jeu Qui Rigole,160,125,50
Les Charlatans de Belcastel (Megabox),500,320,70
Little Town,205,205,60
Mallette de Poker Copag 300 Jetons,430,240,100
Mikado en bois - 25 cm,270,50,30
Mikado en bois - 50cm,530,90,60
Mimetix,175,105,65
Mixmo,210,80,80
Monopoly Deal,140,90,20
Mysterium : Hidden Signs,275,120,50
Mythwind : Figurines Magiques,260,90,30
Nouvelles Contrees : Aventures Thematiques,230,50,50
Oeufs (Ext. Hibachi),40,40,10
Omerta,180,80,50
Pack Spectral - Pack Heros - Ext. Sword & Sorcery,190,135,45
Paddy,225,225,50
Panots,105,80,35
Pantone - Le Jeu,260,255,50
Pizz'Arene,400,70,70
Pock,400,170,80
Rock Me Archimedes,430,110,90
Rubik's Connected X,190,155,70
Rubik's Cube 5x5,70,70,70
Rush Hour World Tour,260,155,20
Samurai - Gift Puzzle Box,120,105,65
Scythe : Le Reveil de Fenris,300,255,85
Set 4 plateaux joueurs (Ext. AracKhan Wars),310,120,10
Set de des - Chroniques de Drunagor,180,40,25
Shuffle-Puck Mango 130x70cm,1300,700,50
Shuffle-Puck Mango 90x45cm,990,530,50
Star Realms - L'Union (Deck de Commandement),150,70,5
Star Wars Legion : TR-TT,250,190,90
Suspend,320,80,80
Sword & Sorcery - Les Ames Immortelles,405,275,90
Tabriz,330,330,70
Tag Team : 2 Vs 2 (Ext. Mindbug),105,65,15
Tales of Nine : La Montagne Noire,80,80,20
Tapis de Jeu Dragon Ball Z : Duel Battle,800,100,40
Tapis de Jeu Frostpunk,670,60,60
Terre Fracturee (Ext. Spirit Island),295,170,55
The Mind - Le Devin,180,120,20
Treant VS Ninja  - Dice Throne S1 C4,231,130,63
Triolet,360,230,40
Twist Delire - Vocabulaire,160,90,90
Unlock! 4 : Exotic Adventures,275,215,65
Uno Flex,120,90,20
Unstable Unicorns - Pour Enfants,150,100,30
Xok,270,70,60
Zombicide : Team Building Deck,70,45,40
