name,length,width,height
Aeon's End - Une Ere Nouvelle,295,295,75
Altay,295,295,70
Art Gallery,295,295,70
Catan,295,295,75
Catan Junior,295,295,75
Dodo Ahoi !,295,295,80
Dragonniers,295,295,50
Dungeonology : L'Expedition,295,295,70
Kutna Hora : La Cite De L'argent,295,295,70
La Ruee vers l'Argent (Ext. Tiletum),295,295,45
Le Dilemme Du Roi,295,295,100
Pearlbrook (Ext. Everdell) - Seconde edition,295,295,60
Rock Hard 1977,295,295,75
Smallworld,295,295,75
Smallworld Underground,295,295,70
Takenoko Oyako,295,295,60
The Royal Society Of Archeology,295,295,75
The Uprising (Ext. Maracaibo),295,295,48
Trickerion - Legende de L'Illusion,295,295,68
Tunnel Vision (Ext. Heat),295,295,35
