name,length,width,height
7 Wonders Architects,300,295,95
Aeon's End,295,295,75
Aeon's End - Guerre Eternelle,295,295,75
Aeon's End - Une Ere Nouvelle,295,295,75
Altay,295,295,70
Andor : Voyage vers le Nord,300,300,80
Art Gallery,295,295,70
Barony : Edition Royale Deluxe,295,295,75
Biathlon Crystal Globe - Annecy Le Grand-Bornand,295,295,70
Biathlon Crystal Globe - Edition World Champions,295,295,70
Bullet,295,295,70
Cafe de Fleur : L'Art de la Marqueterie,300,300,70
Captain Sonar - 2nde Edition,295,295,75
Catan,295,295,75
Catan : Energies,295,295,75
Catan Junior,295,295,75
Celestia Big Box,300,300,70
Chambres a Louer - Extension Tavernes de la Vallee Profonde,295,295,55
Cities Skylines : Le Jeu de Plateau,295,295,70
Clank! Catacombes,300,300,80
Coexist,295,295,75
Dabba Walla,295,295,60
Dames Chinoises en Bois - 29cm,295,295,40
Detective - Jeu d'Enquete Moderne,295,295,75
Dodo,295,295,69
Dodo Ahoi !,295,295,80
Dominion (Seconde Edition),295,295,75
Dorfromantik : Sakura,295,295,70
Dragonniers,295,295,50
Dune Imperium : Insurrection,300,300,80
Dungeonology : L'Expedition,295,295,70
Equipment Pack (Ext. Memoire 44),295,295,70
Expeditions - Autour du Monde,300,300,50
Fate: Les Defenseurs de Grimheim,295,295,80
Finspan,295,295,70
Great Western Trail (2nde Edition),295,295,70
Great Western Trail : Argentine,295,295,70
Heat,295,295,110
Heavy Rain (Ext. Heat),295,295,70
Iberia & Coree du Sud (Ext. Les Aventuriers du Rail),300,300,35
In The Sky - Extension Bunny Kingdom,295,295,40
Incantibus,295,295,55
Ironwood,295,295,60
Ishtar : Les Jardins de Babylone,295,295,75
Istanbul Big Box,295,295,85
Junta,295,295,75
Khora : L'Apogee d'un Empire,295,295,80
Kids Express,295,295,70
Kutna Hora : La Cite De L'argent,295,295,70
Kyoto No Neko,295,295,75
L'Ile au Tresor,295,295,70
L'Ile des Chats,295,295,100
La Colline aux Feux Follets,295,295,70
La Guilde des Expeditions Marchandes,295,295,70
La Ruee vers l'Argent (Ext. Tiletum),295,295,45
La Traque de l'Anneau,295,295,75
Lacrimosa,300,300,80
Le Clan des Deux (Ext. The Mandalorian : Adventures),295,295,50
Le Dilemme Du Roi,295,295,100
Le Petit Fantome,295,295,70
Les Alchimistes (Ext. Charlatans de Belcastel),295,295,55
Les Glorieuses Guildes de Buttonville,295,295,70
Les Sorcieres s'en Melent (Ext. Charlatans de Belcastel),295,295,55
Limit,295,295,70
Mass Effect : Le Jeu de Plateau,295,295,60
Memoire 44 (Ed. 2025),295,295,100
Mer de Sable (Ext. Destinies),295,295,80
Mille Fiori,295,295,70
Mission : Planete Rouge (3eme Edition 2025) + Errata FR,300,295,75
Mistwood (Ext. Everdell),295,295,60
Orichalque,295,295,70
Pearlbrook (Ext. Everdell) - Seconde edition,295,295,60
Photosynthesis,300,300,90
Planet,300,300,80
Rock Hard 1977,295,295,75
RoundForest,295,295,70
Sagrada Artisans,300,300,120
Shut The Box 10 en bois avec 2 des,300,295,40
Sine Tempore,295,295,145
Skellige (Ext. The Witcher : L'Ancien Monde),300,300,60
Smallworld,295,295,75
Smallworld Underground,295,295,70
Sparks,295,295,60
Spirecrest (Ext. Everdell),295,295,60
Star Wars : Bordure Exterieure,295,295,70
Stroganov,295,295,70
Takenoko Oyako,295,295,60
The Dark Quarter,295,295,75
The Royal Society Of Archeology,295,295,75
The Uprising (Ext. Maracaibo),295,295,48
Thebai,295,295,75
Tianxia,295,295,75
Trekking the World,295,295,70
Trickerion - Legende de L'Illusion,295,295,68
Tunnel Vision (Ext. Heat),295,295,35
Unmatched Aventures - Chroniques Inouies (+cartes foil exclusives 1ere edition inclues),295,295,70
Upstairs Downstairs (Ext. Obsession),300,300,40
Video Game Champion,295,295,80
Wild - Serengeti,295,295,75
Ydrody,295,295,45
