name,length,width,height
8 Qui Croc',110,75,10
Aerial Show - Draftosaurus (Ext.),200,100,40
Agropolis,110,70,10
Amanite,225,225,45
Arbres a Compter,270,270,60
Aventures (Ext. Unstable Unicorns),170,100,20
Boo Party,130,90,40
C'est Carre!,160,125,45
Cascadia,260,260,75
Celtae,290,290,70
Codenames Images (Ed. 2025),230,160,50
Codex - L'Ultime Secret de Leonard de Vinci,340,240,120
Enigmes a Tous les Etages,320,220,50
Everdell - Edition Essentielle,300,300,70
Exploding Kittens : NSFW Version (Edition Rose),160,110,40
Exploding Kittens : Recettes Chatastrophiques,310,210,80
Fauna,290,290,70
Gagne Ton Papa!,320,190,50
Galactic Cruise,370,300,150
Galileo Project,265,265,65
Game of Trains,120,95,20
IQ PUZZLER Pro XXL,435,305,75
Juduku - Le Vice Ultime,190,100,65
Kinfire Delve : Scorn's Stockade,180,145,45
King Of The Hill,230,230,100
La Fin des Haricots,120,95,40
Les Cercles Oublies (Ext. Gloomhaven),290,230,50
Les Princes de Florence,300,300,70
Mouton Mouton,190,70,55
Nouvelle Lune (Ext. Le Monde de Reterra),270,200,50
On Lache Rien !,150,110,40
One Deck Dungeon,140,100,40
Osmooz Hot,180,95,30
Ptibac : Cocorico,210,120,40
Puzzle Universe - Shallow Waters (1000P),285,130,85
Ragnarok (Ext. Tiny Epic Vikings),175,120,20
Rummikub Chiffres,400,270,50
Shuffle-Puck Mango 90x45cm,990,530,50
Silex and the City - Le jeu !,150,100,40
Similo Animaux,110,110,30
Sobek 2 Joueurs,200,200,50
Spy Guy Junior Dinosaures,260,260,60
Sylvion,160,160,50
Taggle Patron !,190,100,60
Ticket Gagnant (Ed. 2024),225,145,50
Triggs,130,100,20
Unlock! Escape Geeks : Echappe-toi du Cimetiere,210,145,20
Unsettled,360,190,190
Villainous Star Wars : Vermine & Trahison,270,170,60
Zenda - Le Maitre du Stress,290,220,45
